ProjectSize,Budget,NumberOfWorkers,WeatherConditions,MaterialAvailability,TargetCompletionDate,Delayed,ProjectManagerExperience,SubcontractorReliability,RegulatoryApprovalStatus,SiteAccessibility,DailyWorkHours,NumberOfSubcontractors,ResourceAvailability,ClientDemand,EconomicConditions,PreviousDelays
966219.0,764030.0,399.0,,Low,2025-11-26,0.0,16.0,Medium,Pending,Poor,9.0,16.0,Low,Low,,2.0
457448.0,1325538.0,366.0,Rainy,High,2024-02-11,1.0,11.0,High,Approved,,6.0,8.0,Medium,High,Neutral,2.0
103256.0,2508414.0,,Snowy,Low,2024-09-02,,4.0,High,Approved,Moderate,10.0,16.0,Low,High,Unfavorable,3.0
334621.0,2169832.0,176.0,Snowy,Medium,,0.0,3.0,Low,Rejected,Moderate,7.0,16.0,Medium,Medium,Neutral,4.0
995092.0,1530923.0,129.0,Rainy,Low,2024-07-14,0.0,13.0,,Approved,Moderate,9.0,15.0,Medium,High,Unfavorable,3.0
763587.0,1771557.0,374.0,,Medium,2024-04-10,0.0,10.0,Low,Pending,Poor,10.0,9.0,High,High,Neutral,2.0
208999.0,2976077.0,343.0,Snowy,Medium,2024-07-26,1.0,19.0,Low,Approved,Moderate,8.0,12.0,Low,Low,Favorable,1.0
893711.0,3954783.0,376.0,Sunny,Medium,2023-03-03,1.0,16.0,High,Approved,Moderate,9.0,,High,Low,Neutral,
747310.0,857287.0,418.0,Snowy,Medium,2024-10-07,1.0,14.0,Medium,Approved,Poor,7.0,7.0,Low,Medium,Unfavorable,2.0
611585.0,3066104.0,363.0,Rainy,Medium,2023-02-18,0.0,,High,Approved,,10.0,3.0,Low,Low,Unfavorable,1.0
743045.0,3391093.0,165.0,Rainy,Medium,2023-02-28,1.0,9.0,Medium,Rejected,Good,6.0,12.0,Low,High,Neutral,
254210.0,1497261.0,457.0,Cloudy,Medium,2025-09-24,0.0,10.0,Medium,Approved,Moderate,6.0,17.0,High,Medium,Favorable,3.0
317210.0,710277.0,,Sunny,High,2025-07-20,0.0,12.0,Medium,Approved,Poor,6.0,1.0,Medium,Medium,Favorable,1.0
,995425.0,60.0,Sunny,Low,2025-04-17,,5.0,Low,Pending,Good,,3.0,High,High,Favorable,1.0
,2519100.0,,Sunny,Low,2025-04-10,0.0,18.0,Medium,Pending,Poor,7.0,14.0,Low,Medium,,3.0
782035.0,2483894.0,169.0,Cloudy,Low,2025-06-06,0.0,,High,,Poor,7.0,12.0,Low,Medium,,0.0
512971.0,2075713.0,433.0,Rainy,,2024-03-03,0.0,1.0,High,Rejected,Moderate,9.0,16.0,Medium,High,Unfavorable,
467431.0,4886695.0,157.0,Cloudy,Medium,2024-06-13,0.0,3.0,Medium,Pending,Good,10.0,7.0,Medium,High,Neutral,2.0
752748.0,3824343.0,218.0,Snowy,Medium,2024-11-11,0.0,1.0,Low,Approved,Moderate,10.0,6.0,Medium,High,Unfavorable,0.0
,4090811.0,393.0,,Low,2024-05-01,,8.0,Medium,Approved,Good,7.0,16.0,Medium,Low,,4.0
441718.0,2416131.0,221.0,Snowy,High,2023-08-27,1.0,10.0,High,,Good,8.0,9.0,Low,High,Favorable,1.0
119764.0,4300613.0,72.0,Rainy,Medium,2024-06-29,0.0,12.0,Medium,Rejected,Good,8.0,7.0,Low,,Favorable,3.0
739729.0,3566951.0,,Cloudy,Low,2025-05-17,,16.0,,Approved,Poor,8.0,13.0,High,High,Unfavorable,0.0
124766.0,2843477.0,235.0,Cloudy,Medium,2023-03-27,1.0,16.0,,Rejected,Poor,,1.0,Low,Medium,Favorable,
786970.0,953276.0,257.0,Snowy,Low,2023-05-04,0.0,11.0,Low,,Poor,10.0,2.0,High,High,,1.0
,1459591.0,412.0,Snowy,Low,2024-10-31,0.0,6.0,Medium,Pending,Good,6.0,5.0,Medium,,,0.0
233941.0,2580716.0,,Snowy,High,2023-04-12,0.0,11.0,Low,Rejected,Moderate,10.0,10.0,Medium,Medium,Neutral,2.0
184248.0,3580374.0,255.0,Snowy,Medium,2025-08-01,0.0,,Low,Pending,Poor,8.0,13.0,Low,High,,
996666.0,1819229.0,178.0,Snowy,Low,2025-03-26,0.0,3.0,High,Approved,Good,7.0,18.0,High,Medium,Neutral,0.0
337911.0,3667901.0,98.0,Sunny,Low,,0.0,1.0,Medium,Pending,Good,8.0,7.0,High,High,Favorable,3.0
586577.0,,100.0,Rainy,Low,,1.0,1.0,Low,Approved,Poor,8.0,7.0,High,Medium,Unfavorable,0.0
622081.0,2773615.0,426.0,Sunny,High,2025-02-02,1.0,10.0,Low,,Moderate,6.0,7.0,High,High,Unfavorable,0.0
642049.0,1826012.0,78.0,Snowy,Medium,2023-01-19,1.0,13.0,Medium,,Moderate,11.0,18.0,Medium,Low,Neutral,4.0
864250.0,1038684.0,107.0,Snowy,Low,2025-09-08,0.0,10.0,High,Rejected,Moderate,8.0,18.0,,High,Unfavorable,4.0
845236.0,,393.0,Snowy,Medium,2025-06-17,0.0,7.0,High,Pending,Moderate,10.0,3.0,Medium,High,Neutral,0.0
361087.0,2620833.0,102.0,Snowy,Low,,,18.0,Low,Pending,Moderate,7.0,3.0,Low,High,Unfavorable,3.0
571576.0,4333326.0,428.0,Snowy,Low,2024-09-29,0.0,9.0,Low,Approved,,,11.0,High,,Neutral,3.0
581040.0,4686117.0,315.0,Rainy,Low,2023-12-21,,15.0,Low,Approved,Moderate,10.0,4.0,High,,Neutral,3.0
658970.0,3529727.0,472.0,,Low,2023-01-22,0.0,,High,Rejected,Moderate,11.0,19.0,Medium,Low,Neutral,2.0
709364.0,3366108.0,329.0,Snowy,High,2024-05-31,1.0,19.0,High,,Poor,7.0,11.0,High,High,Neutral,1.0
441436.0,1029312.0,474.0,Sunny,High,2024-07-16,0.0,8.0,Low,,Poor,11.0,2.0,High,High,Neutral,4.0
309255.0,,434.0,Cloudy,Low,2025-05-06,0.0,1.0,Low,Approved,Poor,9.0,7.0,High,High,Favorable,2.0
520909.0,3470953.0,154.0,Cloudy,Low,2023-07-16,1.0,19.0,Medium,Approved,Moderate,9.0,11.0,,High,Neutral,4.0
282222.0,3942457.0,398.0,Sunny,Low,2023-02-28,0.0,17.0,Low,Rejected,Moderate,8.0,1.0,High,Low,Unfavorable,4.0
969925.0,587414.0,357.0,Cloudy,Low,2025-04-24,0.0,12.0,Low,Pending,Moderate,7.0,5.0,Low,,Unfavorable,
715223.0,4813938.0,399.0,Snowy,High,2023-02-03,0.0,19.0,Low,Rejected,Good,7.0,7.0,Low,Medium,,
,2524151.0,295.0,Sunny,Low,2025-05-29,0.0,4.0,High,Pending,Good,9.0,5.0,Medium,Medium,Favorable,4.0
406279.0,4349644.0,155.0,Snowy,,2023-10-04,0.0,18.0,High,Approved,,9.0,17.0,Medium,Low,Unfavorable,3.0
826155.0,4126164.0,75.0,Snowy,,2025-09-12,1.0,,Medium,Pending,Poor,11.0,12.0,Low,Low,Favorable,1.0
777960.0,2252945.0,108.0,Sunny,Medium,2024-04-23,0.0,6.0,Medium,Pending,Moderate,8.0,18.0,Low,High,Neutral,3.0
703454.0,2718064.0,263.0,Sunny,High,2024-01-02,0.0,2.0,Low,Approved,Poor,10.0,19.0,Medium,,Favorable,1.0
894213.0,1007539.0,177.0,Cloudy,Medium,2024-09-07,0.0,10.0,High,Rejected,Moderate,11.0,18.0,Medium,High,Unfavorable,2.0
939576.0,3597040.0,482.0,,Medium,2024-02-22,1.0,13.0,Low,,Good,7.0,4.0,Low,Medium,,4.0
530218.0,1717190.0,71.0,Cloudy,Medium,2024-04-26,1.0,18.0,Low,Pending,Good,8.0,11.0,Low,High,Favorable,0.0
303074.0,1431945.0,304.0,Snowy,Low,2024-09-28,0.0,10.0,Low,Pending,Moderate,,11.0,Medium,Low,,1.0
968431.0,2885322.0,131.0,Cloudy,Medium,2023-04-05,0.0,8.0,High,Pending,Good,,15.0,Medium,High,Neutral,2.0
511558.0,3472854.0,423.0,Snowy,Medium,2023-08-08,0.0,,High,Pending,Good,10.0,17.0,Medium,High,Neutral,1.0
833146.0,1327418.0,478.0,Cloudy,Low,2025-02-26,,,High,Rejected,Poor,7.0,2.0,Medium,Low,,4.0
277895.0,4425456.0,237.0,Cloudy,Low,2023-02-08,0.0,18.0,Medium,Pending,Good,7.0,,Low,High,Favorable,3.0
673614.0,,116.0,Cloudy,High,2025-05-15,1.0,4.0,Low,Rejected,Poor,7.0,16.0,Medium,High,Favorable,2.0
685370.0,1286128.0,492.0,Rainy,High,2023-12-06,,,Low,Approved,Poor,8.0,,Medium,High,Unfavorable,
202733.0,4263123.0,456.0,Rainy,Medium,2025-07-09,0.0,4.0,Low,Approved,,11.0,16.0,Low,High,Favorable,2.0
855991.0,3721716.0,57.0,Snowy,Low,2025-06-08,1.0,14.0,Low,Approved,Moderate,7.0,8.0,,Medium,Neutral,1.0
261490.0,4494167.0,338.0,Cloudy,High,2025-09-17,0.0,5.0,Low,Rejected,Poor,9.0,7.0,Medium,Low,Unfavorable,0.0
960145.0,3894215.0,167.0,Rainy,,2024-02-07,0.0,10.0,Low,Rejected,Moderate,6.0,13.0,Low,High,Unfavorable,1.0
481484.0,,159.0,Cloudy,Low,2025-07-02,1.0,19.0,,Pending,,,19.0,Low,High,Neutral,2.0
,2974331.0,405.0,Sunny,,,0.0,12.0,High,Rejected,Moderate,6.0,13.0,High,Medium,Favorable,3.0
498974.0,2145441.0,443.0,Sunny,High,,0.0,14.0,Medium,Approved,Poor,,10.0,Medium,,Unfavorable,2.0
,2670998.0,147.0,Cloudy,High,2024-05-23,0.0,7.0,Medium,,Good,7.0,2.0,Medium,Low,Favorable,
892510.0,4711726.0,222.0,Sunny,Low,2023-05-10,0.0,18.0,,Pending,Moderate,9.0,12.0,Medium,Medium,Unfavorable,1.0
,3632272.0,362.0,Sunny,,2024-03-16,1.0,19.0,,Rejected,Moderate,,15.0,Low,,,3.0
,,86.0,Rainy,Medium,2023-04-12,,9.0,,Pending,Poor,,8.0,Low,Low,Favorable,2.0
848604.0,,496.0,Rainy,Medium,2023-08-09,0.0,15.0,Medium,Pending,Moderate,7.0,14.0,Low,Medium,Unfavorable,1.0
934283.0,3157963.0,,Cloudy,Medium,2023-06-28,,5.0,High,Pending,Poor,,12.0,High,Medium,Unfavorable,0.0
620237.0,1569217.0,344.0,Sunny,Medium,2024-10-21,1.0,6.0,Medium,Approved,Moderate,7.0,5.0,High,,Neutral,4.0
,673091.0,222.0,,High,2024-05-17,0.0,3.0,Medium,Approved,Poor,9.0,,Medium,,Unfavorable,0.0
799278.0,3803018.0,122.0,Rainy,Low,2023-09-07,0.0,12.0,High,Pending,Poor,7.0,16.0,High,High,,2.0
531051.0,4671987.0,495.0,Rainy,High,2023-12-03,0.0,19.0,High,Rejected,Poor,7.0,18.0,High,Medium,Neutral,2.0
,1506108.0,178.0,Snowy,,,0.0,15.0,High,Pending,,9.0,3.0,High,,Neutral,3.0
781979.0,565905.0,161.0,,Low,2024-05-01,0.0,17.0,High,Approved,,11.0,5.0,High,Low,Favorable,4.0
464605.0,3840977.0,,Sunny,Medium,2025-08-30,0.0,6.0,,Rejected,Moderate,,3.0,High,Medium,Unfavorable,3.0
213965.0,4823566.0,210.0,,High,2025-08-05,0.0,17.0,High,Approved,Good,10.0,16.0,High,Medium,Favorable,1.0
648361.0,1479608.0,352.0,Sunny,Medium,,0.0,6.0,Medium,Pending,Good,6.0,,Low,Medium,Unfavorable,0.0
,4688695.0,93.0,Rainy,High,2024-09-22,,8.0,Low,Pending,Poor,,1.0,High,Low,Favorable,3.0
621513.0,2007353.0,54.0,Sunny,Medium,2025-08-10,0.0,17.0,Low,Pending,,7.0,9.0,Medium,Low,Neutral,
836111.0,1511649.0,285.0,Rainy,High,2024-01-14,0.0,10.0,Medium,Approved,Poor,6.0,8.0,High,Medium,Unfavorable,4.0
265650.0,,440.0,Rainy,High,2025-12-28,0.0,4.0,Medium,Approved,Moderate,11.0,17.0,Low,,Neutral,4.0
328846.0,,404.0,Sunny,Low,2025-10-14,0.0,16.0,High,Rejected,Moderate,10.0,,High,High,Unfavorable,0.0
422062.0,,380.0,Sunny,High,2024-12-10,0.0,9.0,High,Rejected,,11.0,1.0,Low,High,Favorable,2.0
993798.0,3624785.0,190.0,Snowy,Low,2024-10-16,0.0,11.0,High,Pending,Good,6.0,15.0,High,Low,Neutral,3.0
900002.0,4303958.0,152.0,Rainy,,2023-02-20,0.0,10.0,Low,Approved,,7.0,15.0,Medium,Low,Favorable,3.0
216180.0,3287222.0,56.0,Rainy,,,0.0,18.0,High,Rejected,Good,9.0,17.0,High,High,Favorable,2.0
716307.0,4115995.0,54.0,Rainy,High,2025-03-22,1.0,7.0,Low,Approved,Moderate,10.0,,High,Medium,Neutral,4.0
205806.0,800494.0,320.0,Cloudy,Medium,,1.0,1.0,Low,Rejected,Good,10.0,18.0,,Medium,Favorable,3.0
918952.0,1012920.0,228.0,Cloudy,Medium,2024-12-03,0.0,,High,Pending,Good,6.0,7.0,High,,Favorable,4.0
229424.0,993176.0,240.0,Cloudy,Medium,2025-07-08,1.0,19.0,Low,Approved,Good,8.0,12.0,,Low,,0.0
322220.0,3360207.0,223.0,Sunny,Low,2023-01-26,0.0,12.0,High,Approved,Good,,6.0,Low,Medium,Unfavorable,2.0
720253.0,4084656.0,378.0,Sunny,High,2025-04-10,0.0,1.0,High,Pending,Good,7.0,5.0,Medium,Low,Unfavorable,3.0
720487.0,1874686.0,202.0,Snowy,High,2024-06-19,0.0,1.0,High,Pending,Poor,6.0,8.0,High,High,Unfavorable,0.0
578679.0,1864057.0,352.0,Rainy,High,2025-02-11,1.0,8.0,Low,Pending,Poor,6.0,12.0,Medium,Medium,Unfavorable,3.0
655697.0,3993206.0,242.0,Snowy,Low,2025-10-04,1.0,12.0,Low,Approved,Good,11.0,5.0,Medium,,Favorable,1.0
516163.0,2244426.0,,Sunny,Medium,2024-07-27,0.0,15.0,High,Approved,Moderate,7.0,3.0,Medium,Medium,Neutral,4.0
959347.0,3066471.0,142.0,Sunny,Medium,2025-04-04,1.0,11.0,Medium,Rejected,Moderate,7.0,18.0,Low,High,Neutral,4.0
922706.0,1933169.0,373.0,Snowy,Medium,2025-07-29,0.0,8.0,Low,Approved,Poor,7.0,14.0,High,High,Favorable,3.0
490400.0,2854519.0,170.0,Cloudy,Low,2024-01-09,0.0,11.0,Low,Rejected,Moderate,10.0,18.0,High,High,Favorable,0.0
615860.0,3856863.0,374.0,Rainy,Low,2024-09-19,0.0,12.0,Low,Approved,,8.0,17.0,Low,High,Favorable,0.0
935388.0,929072.0,342.0,Cloudy,High,2025-02-06,0.0,19.0,High,Pending,Moderate,10.0,14.0,Medium,,Favorable,0.0
557182.0,,463.0,Sunny,,2025-12-04,1.0,6.0,High,Rejected,Good,10.0,2.0,Low,Low,Favorable,3.0
633329.0,4068916.0,327.0,Snowy,Low,2024-02-02,0.0,3.0,,Rejected,Moderate,10.0,6.0,,Low,Neutral,1.0
421180.0,3641585.0,76.0,,Low,2023-05-18,0.0,7.0,High,Pending,Poor,,5.0,Medium,High,Favorable,0.0
723377.0,3962439.0,444.0,Sunny,High,2023-11-19,0.0,19.0,High,Pending,,,,Low,Medium,Unfavorable,0.0
166417.0,2856503.0,369.0,Snowy,Medium,2024-12-03,0.0,2.0,Medium,Approved,Good,8.0,1.0,High,Medium,Neutral,2.0
757320.0,3706872.0,224.0,,Medium,2023-04-07,0.0,3.0,Medium,Rejected,Good,7.0,2.0,Low,Medium,Favorable,0.0
717371.0,2052532.0,410.0,,High,2024-06-22,0.0,18.0,Medium,Rejected,Good,10.0,6.0,Low,,Unfavorable,4.0
122442.0,2610861.0,327.0,Sunny,Low,2024-03-21,0.0,3.0,,Approved,Moderate,,,High,Medium,Favorable,2.0
956807.0,1926207.0,223.0,Snowy,Medium,2025-04-30,0.0,13.0,Low,Approved,Poor,9.0,6.0,Low,Low,Unfavorable,0.0
797796.0,756642.0,233.0,Cloudy,High,2023-03-28,0.0,15.0,Low,Rejected,Moderate,8.0,1.0,Low,Medium,Favorable,0.0
727561.0,4726404.0,449.0,Sunny,Low,2023-08-29,,1.0,Low,Pending,Moderate,9.0,7.0,Low,Low,Neutral,
101723.0,4111909.0,238.0,Snowy,High,2024-03-06,0.0,8.0,Medium,,Moderate,9.0,3.0,Low,,Favorable,4.0
262776.0,1073982.0,423.0,Snowy,Low,,0.0,12.0,Medium,Approved,,9.0,8.0,Medium,Low,Favorable,3.0
261472.0,3796021.0,259.0,Rainy,High,2023-05-01,0.0,14.0,Medium,Approved,Moderate,7.0,3.0,High,Low,Neutral,4.0
814072.0,,183.0,Rainy,Low,2025-12-14,1.0,19.0,Low,Pending,Poor,7.0,19.0,,,Favorable,1.0
513434.0,2336995.0,187.0,Cloudy,Low,2025-02-09,0.0,6.0,High,,Poor,9.0,18.0,High,Low,Unfavorable,2.0
652390.0,3177140.0,100.0,Sunny,Medium,,0.0,18.0,Medium,Pending,Good,,11.0,,Medium,Favorable,3.0
226753.0,1562595.0,483.0,Snowy,Medium,2024-08-18,0.0,11.0,Low,Pending,Good,6.0,10.0,Low,Medium,Unfavorable,2.0
620250.0,2121866.0,159.0,,,2024-10-01,,11.0,Low,Rejected,Moderate,7.0,3.0,Low,High,Favorable,0.0
,3166329.0,,Rainy,High,2024-06-06,1.0,13.0,High,Approved,Good,7.0,6.0,Medium,High,Favorable,1.0
,3307431.0,59.0,Sunny,Medium,2025-09-07,0.0,6.0,,Rejected,Poor,8.0,2.0,High,High,Neutral,4.0
709423.0,2466586.0,140.0,Sunny,Medium,2023-09-16,0.0,9.0,Low,Rejected,Poor,6.0,19.0,Medium,Low,Neutral,
181130.0,,303.0,Cloudy,Medium,2023-12-05,1.0,18.0,High,Approved,Moderate,10.0,5.0,,High,Neutral,1.0
505324.0,4570802.0,83.0,Cloudy,Low,2023-07-20,0.0,9.0,Medium,Pending,Poor,6.0,18.0,Low,Low,Unfavorable,3.0
846131.0,2003266.0,420.0,Sunny,High,2025-09-12,0.0,13.0,Low,Pending,Poor,6.0,9.0,Medium,Low,Unfavorable,4.0
235559.0,3839682.0,90.0,Snowy,Low,2024-10-30,0.0,6.0,High,Pending,Good,11.0,8.0,Low,Medium,Unfavorable,3.0
707709.0,3751965.0,,Sunny,,2025-06-14,0.0,13.0,Low,Rejected,Moderate,10.0,17.0,High,Medium,Unfavorable,0.0
461729.0,,88.0,Snowy,Medium,2025-09-09,0.0,18.0,High,,Good,6.0,9.0,High,Medium,Unfavorable,2.0
778755.0,3862293.0,429.0,Rainy,Medium,2024-10-29,0.0,17.0,Medium,Rejected,Good,10.0,8.0,High,Medium,Unfavorable,2.0
874637.0,,75.0,Sunny,High,2024-10-02,0.0,9.0,Medium,Approved,,7.0,18.0,High,Medium,Unfavorable,0.0
130406.0,2867840.0,353.0,,Low,2023-11-24,1.0,11.0,Low,Approved,Moderate,,18.0,Low,Medium,Unfavorable,
493715.0,3247848.0,70.0,Snowy,High,2025-01-09,0.0,16.0,Medium,Rejected,Poor,8.0,2.0,Medium,High,Favorable,4.0
905661.0,3915188.0,,Cloudy,Medium,2023-01-28,0.0,1.0,High,Pending,Poor,6.0,14.0,Medium,Medium,Unfavorable,1.0
559119.0,4087550.0,457.0,Rainy,High,2023-06-02,0.0,8.0,High,Approved,Poor,8.0,14.0,Medium,Medium,Unfavorable,1.0
764016.0,855401.0,,Cloudy,High,2025-08-06,,,Medium,Rejected,Poor,7.0,2.0,High,,Neutral,2.0
914386.0,,264.0,Sunny,,2025-01-11,,9.0,Low,Approved,Moderate,9.0,,High,,Favorable,3.0
345971.0,1919950.0,343.0,Sunny,Low,2024-12-29,0.0,,Low,Rejected,Moderate,7.0,7.0,Low,Medium,Neutral,
,,168.0,Rainy,High,,0.0,,High,Pending,Good,9.0,,Medium,High,Neutral,4.0
641997.0,4245469.0,168.0,Rainy,High,2025-09-18,,2.0,Low,Rejected,Good,6.0,3.0,High,High,Neutral,2.0
288569.0,1219810.0,215.0,Cloudy,High,2024-10-16,0.0,19.0,High,Pending,Moderate,11.0,8.0,Low,,Neutral,0.0
747369.0,3553084.0,211.0,Cloudy,Low,2024-01-24,1.0,11.0,Low,Rejected,Good,6.0,4.0,High,Medium,Unfavorable,0.0
622330.0,1163503.0,263.0,Rainy,High,2024-05-22,0.0,19.0,Low,Rejected,Good,10.0,19.0,Medium,Low,Neutral,3.0
647532.0,3062336.0,154.0,Snowy,High,2024-08-30,1.0,19.0,Medium,Approved,,,18.0,High,Low,Unfavorable,4.0
774290.0,4320180.0,,Snowy,Medium,2024-04-17,0.0,18.0,,,Moderate,6.0,13.0,Low,High,Unfavorable,
365767.0,,270.0,Cloudy,Medium,2024-07-10,0.0,17.0,Medium,Rejected,Moderate,8.0,4.0,Low,,Neutral,4.0
,4219186.0,200.0,Sunny,Medium,2025-05-13,1.0,9.0,Low,Rejected,Good,6.0,16.0,Low,High,Neutral,4.0
638799.0,3077236.0,347.0,Rainy,Medium,2024-10-30,0.0,3.0,Low,,Poor,10.0,15.0,Low,High,Unfavorable,3.0
637299.0,4696119.0,348.0,Sunny,High,2025-11-13,,7.0,Low,Approved,,11.0,16.0,Low,Medium,Favorable,
144628.0,4298394.0,249.0,Cloudy,High,2023-06-28,0.0,8.0,Medium,Pending,Poor,,12.0,Medium,Medium,,2.0
109884.0,1388140.0,354.0,Rainy,Low,2025-01-13,0.0,8.0,Low,Pending,Moderate,8.0,2.0,High,High,Neutral,1.0
145315.0,4083396.0,321.0,Rainy,High,2023-12-08,0.0,16.0,Low,Approved,Moderate,9.0,1.0,High,Low,,0.0
678901.0,3941823.0,156.0,Snowy,Medium,2023-11-24,1.0,10.0,Medium,Rejected,Moderate,6.0,4.0,Low,Medium,,
890035.0,3579816.0,,Sunny,Low,2024-10-13,0.0,16.0,Low,Rejected,Good,11.0,12.0,Medium,Low,Unfavorable,0.0
364412.0,4973896.0,195.0,Rainy,Medium,2024-10-15,1.0,,High,Pending,Good,10.0,2.0,Medium,High,Neutral,2.0
303224.0,2747193.0,344.0,Cloudy,Low,2025-01-28,0.0,18.0,High,Approved,Poor,7.0,13.0,High,,Favorable,4.0
725297.0,1592116.0,337.0,Sunny,Medium,2025-10-03,1.0,15.0,Low,Approved,Poor,7.0,7.0,High,Medium,Neutral,3.0
711935.0,,439.0,Rainy,Medium,2024-08-09,0.0,13.0,Medium,Pending,,7.0,6.0,Low,Low,Favorable,3.0
140642.0,,378.0,Sunny,High,2024-07-28,,7.0,High,Rejected,Moderate,10.0,13.0,Low,Low,Unfavorable,3.0
681393.0,4806046.0,314.0,Snowy,Medium,2025-03-02,1.0,3.0,Medium,Approved,Good,9.0,12.0,High,Low,Favorable,4.0
266962.0,1131605.0,223.0,Cloudy,Low,2024-04-29,0.0,12.0,Low,Pending,Poor,7.0,9.0,Medium,High,,1.0
678345.0,1316508.0,199.0,Rainy,Medium,2023-06-04,,1.0,High,Rejected,Moderate,7.0,6.0,High,Medium,Unfavorable,3.0
113494.0,1949547.0,148.0,Sunny,,2023-02-23,0.0,2.0,Medium,Approved,,,18.0,High,Low,Favorable,3.0
680406.0,3221281.0,,Rainy,High,2024-05-20,1.0,18.0,High,Pending,Poor,7.0,12.0,High,,Unfavorable,2.0
890927.0,3363843.0,,Rainy,Medium,2024-06-05,0.0,,High,Pending,Good,,7.0,Medium,High,Neutral,1.0
966406.0,4528440.0,,Snowy,Low,2024-07-29,1.0,,Medium,Pending,Good,6.0,5.0,High,Medium,Neutral,0.0
,521621.0,319.0,,High,2025-08-09,,19.0,High,Rejected,Good,,,Medium,Medium,Unfavorable,1.0
415996.0,2063127.0,134.0,Snowy,High,2024-03-19,1.0,,Medium,Rejected,Poor,11.0,3.0,High,High,Unfavorable,4.0
954110.0,4175135.0,391.0,Rainy,High,2025-03-09,0.0,,High,Pending,Poor,11.0,8.0,Medium,High,Neutral,1.0
,3906130.0,160.0,Snowy,High,2024-06-18,0.0,,Low,Rejected,Moderate,6.0,16.0,,Low,Neutral,0.0
537813.0,4176943.0,197.0,,High,2023-04-04,0.0,,High,Pending,Moderate,10.0,7.0,Low,Low,Neutral,3.0
225936.0,1039542.0,205.0,Snowy,,2024-12-28,0.0,16.0,Medium,Rejected,Good,11.0,19.0,Medium,Low,Neutral,4.0
785046.0,1391998.0,173.0,Cloudy,High,2023-10-09,0.0,16.0,Medium,Rejected,Poor,10.0,10.0,High,Medium,Unfavorable,1.0
,4592471.0,198.0,Cloudy,High,2024-01-13,1.0,6.0,Medium,Pending,Moderate,8.0,19.0,High,High,Neutral,1.0
668402.0,769452.0,384.0,Sunny,Medium,2025-12-24,1.0,5.0,Low,Pending,Good,7.0,,Low,,,4.0
983618.0,575991.0,132.0,Rainy,Medium,2024-04-17,0.0,,Low,Rejected,Poor,7.0,10.0,Low,Medium,Neutral,2.0
345855.0,4110281.0,172.0,Sunny,Low,2024-06-18,0.0,18.0,,,Moderate,9.0,6.0,Medium,Medium,Neutral,3.0
182324.0,1876517.0,406.0,Sunny,Medium,2024-08-27,0.0,8.0,Medium,Rejected,Good,11.0,4.0,Low,High,Neutral,0.0
894481.0,1218375.0,443.0,Cloudy,Medium,2024-04-08,1.0,3.0,,Pending,Poor,10.0,14.0,Medium,Medium,Unfavorable,
634416.0,576963.0,,Cloudy,High,2023-04-07,1.0,13.0,Low,Pending,Moderate,10.0,15.0,Medium,Medium,,0.0
371958.0,,305.0,Snowy,Low,2025-07-01,0.0,11.0,Low,Pending,Moderate,10.0,2.0,Medium,High,Unfavorable,0.0
509973.0,4097023.0,225.0,Cloudy,High,2025-10-08,1.0,6.0,Low,Approved,Moderate,8.0,10.0,Low,Medium,,1.0
953101.0,1478535.0,52.0,Sunny,High,2024-07-07,0.0,19.0,Low,Approved,Moderate,7.0,2.0,Low,High,Neutral,2.0
145402.0,2588206.0,97.0,Cloudy,Medium,2023-07-18,,,,Approved,Good,10.0,7.0,High,Medium,Neutral,3.0
427868.0,1574121.0,96.0,Sunny,Low,2025-03-18,0.0,11.0,Low,Approved,Good,9.0,12.0,Low,Medium,Unfavorable,0.0
288810.0,4703586.0,,Sunny,Medium,,1.0,18.0,,Rejected,,10.0,2.0,Low,Low,Neutral,4.0
910740.0,1435432.0,,Cloudy,Low,,1.0,12.0,High,Pending,,7.0,14.0,,Medium,Neutral,2.0
,4155713.0,334.0,Rainy,High,2024-10-27,1.0,5.0,,Pending,,9.0,15.0,High,Medium,Favorable,3.0
538337.0,4964910.0,388.0,Cloudy,Low,2024-07-22,1.0,11.0,Medium,Rejected,Poor,6.0,19.0,High,Medium,,3.0
312138.0,,460.0,Rainy,High,2024-06-09,1.0,11.0,Low,,Moderate,,13.0,,Low,Unfavorable,1.0
868202.0,3203872.0,448.0,Snowy,Medium,2024-04-26,0.0,15.0,Low,Rejected,,7.0,,Medium,High,Neutral,
787500.0,701270.0,170.0,Sunny,Low,2025-09-02,0.0,15.0,High,Approved,,7.0,7.0,Medium,,Neutral,1.0
314362.0,,127.0,Rainy,Low,2023-09-17,0.0,9.0,Medium,,Poor,7.0,18.0,High,High,Unfavorable,0.0
149674.0,1176136.0,152.0,Snowy,High,2023-08-28,0.0,5.0,Medium,Pending,Poor,6.0,6.0,High,Low,Favorable,2.0
822662.0,4299410.0,240.0,Sunny,Low,2024-04-16,0.0,6.0,High,Approved,Good,9.0,10.0,,Medium,Neutral,
448933.0,3613041.0,411.0,Snowy,Low,2023-09-25,0.0,10.0,Low,Pending,,10.0,4.0,High,Medium,Neutral,4.0
578725.0,4242568.0,397.0,Sunny,,2025-09-25,,18.0,Low,Approved,Moderate,8.0,3.0,Low,High,,
838996.0,758526.0,230.0,,Low,2025-08-16,0.0,7.0,High,Pending,Poor,9.0,13.0,Medium,Low,Unfavorable,4.0
